Ward_code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Incapacity_Benefit,Unemployment_Rate,Crime_Rate,Deliberate_Fires,GCSE_points,Unauthorised_Absence,Dependent_children,Public_Transport_Access,Homes_with_access,Wellbeing_score
E05000111,Chislehurst,Bromley,82.13435178,13.99317406,0.773480663,2.846094235,72.24390411,0.328947368,376.5233871,0.699768519,7.611940299,2.134534227,6.828480037,7.8
E05000112,Clock House,Bromley,82.72616606,18.00554017,1.179245283,3.793829669,69.94466264,0.189274448,353.8260163,0.707051672,9.6,3.954252643,-2.898896666,7.6
E05000113,Copers Cope,Bromley,82.02192447,12.82051282,0.833333333,3.000522656,84.30862706,0.063492063,365.343617,0.928335057,13.84615385,3.271929155,-4.958985881,7.6
E05000114,Cray Valley East,Bromley,81.379551,23.44086022,1.832460733,5.880663415,90.04636753,2.420382166,343.3034884,1.658820799,27.07317073,2.127478481,11.54382476,7.6
E05000115,Cray Valley West,Bromley,81.48693702,19.55128205,2.296650718,6.857263035,73.07880694,0.879765396,340.5296804,1.348564868,26.5625,2.291184432,-0.777249662,7.6
E05000116,Crystal Palace,Bromley,79.38015326,25.80645161,2.459016393,7.920652109,120.9545293,0.472440945,343.7304878,1.356062992,24.73684211,4.562356888,11.58964103,7.6
E05000117,Darwin,Bromley,82.67427583,16.41791045,0.983606557,1.631875104,49.71977774,1.333333333,352.5375,1.171111111,7.391304348,1.324718063,7.184143062,8.2
E05000118,Farnborough and Crofton,Bromley,85.46038508,13.72141372,0.924855491,2.306953794,41.5903202,0.404040404,363.0360406,0.738075742,6.666666667,2.499465368,3.660258488,7.6
E05000119,Hayes and Coney Hall,Bromley,84.19196366,12.04819277,0.646766169,2.42146415,45.53164286,0.802469136,368.0088106,0.715707965,4.868421053,2.349995051,13.75123885,8.2
E05000120,Kelsey and Eden Park,Bromley,85.34175572,16.80672269,1.138613861,2.893675344,76.41609201,0.433436533,368.919171,0.402039801,6.842105263,2.710584424,4.625938977,7.6
E05000121,Mottingham and Chislehurst North,Bromley,80.49535563,22.84866469,2.34375,7.126010273,124.7692691,1.37254902,343.4844828,1.711668928,26.48148148,2.514984225,5.47739564,7.8
E05000122,Orpington,Bromley,84.09410911,19.24882629,1.451612903,4.758532452,83.02495756,1.08974359,361.9727273,0.985466946,17.14285714,2.850628817,-5.480513495,7.6
E05000123,Penge and Cator,Bromley,82.35088686,21.83406114,2.190082645,7.416208239,100.2998356,1.016949153,342.0884146,1.134882583,21.36363636,4.156462996,4.051644317,7.6
E05000124,Petts Wood and Knoll,Bromley,85.93523376,11.11111111,0.662650602,2.045089551,46.96369004,0.143884892,390.4907563,0.674107768,3.93442623,2.805037666,-0.438912212,7.6
E05000125,Plaistow and Sundridge,Bromley,79.88517504,15.46666667,1.859296482,4.557854213,67.66380521,0.258899676,366.8580392,0.976996625,14.93150685,2.942841317,0.345243489,7.8
E05000126,Shortlands,Bromley,87.06871771,12.45421245,0.819672131,1.622122977,49.29011702,0,388.5947917,0.295126354,4.090909091,2.723820729,-6.277853911,7.6
E05000127,West Wickham,Bromley,84.45634859,12.76595745,0.64516129,2.245604419,37.34263639,0.132013201,376.7161435,0.303339882,3.428571429,2.160767639,-1.8558816,8.2
E05000128,Belsize,Camden,86.292202,20.49689441,1.404494382,3.211833951,71.00969533,0.62745098,345.1691176,0.93620178,16,4.174886538,-5.238115844,7.7
E05000129,Bloomsbury,Camden,84.02910066,22.22222222,1.256544503,4.180606734,60.61141258,0.436681223,311.3916667,0.950169492,10,7.981070533,0.890361769,7.5
E05000130,Camden Town with Primrose Hill,Camden,84.573648,16.19047619,2.578947368,5.4273152,199.4762046,0.463320463,326.4008065,0.795609756,25.11111111,5.448136004,2.075237263,7.7
E05000131,Cantelowes,Camden,81.75946005,19.92481203,2.903225806,6.280690839,113.3997164,0.731707317,347.7144444,0.911886051,26.88888889,4.86282398,-2.026557947,7.7
E05000132,Fortune Green,Camden,85.32956149,20.35928144,2.011173184,4.884202249,84.4465223,0.083333333,347.4475,1.058197932,20,4.753526267,1.185127617,7.6
E05000133,Frognal and Fitzjohns,Camden,86.54748322,12.98701299,0.722891566,1.696443786,62.77552558,0,338.4272727,0.823579545,4.791666667,4.845434564,-6.955857092,7.6
E05000134,Gospel Oak,Camden,83.27750126,23.46938776,3.439490446,6.252177383,71.89007903,0,329.7815217,1.004435146,26.66666667,4.103665549,-1.925255348,7.7
E05000135,Hampstead Town,Camden,87.39895165,10.25641026,1.275167785,1.55463337,56.15030285,0.353982301,362.65625,1.125698324,4.545454545,4.019133632,8.866181121,7.6
E05000136,Haverstock,Camden,81.67361725,29.0237467,2.784090909,7.613037068,96.58704031,0.238095238,332.5333333,1.05742642,36.36363636,4.749290975,-7.44415816,7.7
E05000137,Highgate,Camden,85.11056633,15,2.483221477,4.910869249,74.07281004,0.18018018,298.8412281,0.957467532,19.11111111,3.929575932,15.82331833,7.6
E05000138,Holborn and Covent Garden,Camden,84.41735173,19.30501931,2.727272727,6.096954093,45.85980456,0.37037037,329.6215385,1.090899358,28.25,7.90952094,-9.435843626,7.5
